, 0d99; 2d91d; 00 
Bash, 0e99; 2d91e; 51 80 1b 99 73 1b 99 74 3a 99 72 2e 99 66 00 68 04 80 b7 9e 81 ba 9e 73 bf 9e 12 60 00 40 06 00 69 03 68 04 1b 68 0b 61 00 40 06 00 69 08 68 05 1b 62 3c 40 06 00 
Combo, 4499; 2d954; 51 66 00 68 04 90 1f 99 80 56 99 66 00 68 07 90 1f 99 00 
Bite, 5799; 2d967; 51 66 00 68 08 60 00 80 b7 9e 81 ba 9e 73 bf 9e 12 40 06 00 
Scratch, 6b99; 2d97b; 51 66 00 68 09 a0 5c 99 
Bore down, 7399; 2d983; 51 66 00 68 0a a0 5c 99 
Run over, 7b99; 2d98b; 51 66 00 68 13 62 0f a0 5e 99 
Desperate Attack, 8599; 2d995; 51 69 03 68 15 80 9a 99 73 a0 99 1b 62 c8 40 06 40 0e 68 14 00 90 b7 9e a0 95 99 90 bf 9e a0 95 99 
Giegue Attack, a699; 2d9b6; 63 00 52 69 14 68 16 b4 80 b6 99 13 62 4b 40 06 56 00 00 
PK Fire Alpha, cd99; 2d9dd; 67 05 20 2c 62 14 52 b4 80 dd 99 64 40 17 40 06 56 00 00 
PK Fire Beta, e799; 2d9f7; 67 05 20 2d 62 3c a0 d3 99 
PK Fire Gamma, f099; 2da00; 67 05 20 2e 62 64 a0 d3 99 
PK Freeze Alpha, 159a; 2da25; 67 07 20 28 62 0a 51 80 b7 9e 64 20 18 40 06 00 
PK Freeze Beta, 259a; 2da35; 67 07 20 29 62 28 a0 1b 9a 
PK Freeze Omega, 2e9a; 2da3e; 67 07 20 2b 62 50 52 b4 80 3e 9a 64 20 18 40 06 56 00 00 
PK Freeze Gamma, 419a; 2da51; 67 07 20 2a 51 80 b7 9e 18 40 0a 00 
Bomb, 4d9a; 2da5d; 67 08 31 23 62 3c a0 d3 99 
Super Bomb, 569a; 2da66; 67 08 31 24 90 0a 9a 62 1f 40 0f 00 
PK Beam Alpha, 629a; 2da72; 67 06 20 30 62 1e 51 80 b7 9e 64 02 1a 40 06 00 
PK Beam Beta, 7c9a; 2da8c; 67 06 20 31 62 50 a0 68 9a 
PK Beam Omega, 8f9a; 2da9f; 67 06 20 33 62 b4 52 b4 80 9f 9a 64 02 1a 40 06 56 00 00 
PK Beam Gamma, a29a; 2dab2; 67 06 20 32 51 80 b7 9e 75 b4 9a 1a 79 c4 9e 40 09 00 68 52 54 a0 ad 9a 
Bug Spray, e69a; 2daf6; 67 01 32 19 90 f0 9a c0 19 00 52 b4 80 fe 9a 12 79 01 9b 87 01 9b 40 09 56 00 00 68 12 a0 fe 9a 
PK Thunder Alpha, ba9a; 2daca; 67 04 20 34 62 0a 51 80 b7 9e 64 10 19 40 06 00 
PK Thunder Beta, ca9a; 2dada; 67 04 20 35 62 32 a0 c0 9a 
Explode, 559e; 2de65; 69 08 68 1e 90 51 9a 40 0e 00 
Burst into flames, 699e; 2de79; 69 05 68 1f 62 1e 90 d3 99 40 0e 00 
Offense Up, 719b; 2db81; 67 00 20 20 51 80 b7 9e 40 03 00 
Sing, b999; 2d9c9; 52 68 5a b4 80 ca 99 8d c8 99 40 29 a0 ca 99 68 12 56 00 00 
Defense Up Alpha, 7c9b; 2db8c; 67 00 20 21 51 80 b7 9e 40 04 00 
Defense Up Beta, 8d9b; 2db9d; 67 00 20 22 53 b4 80 9b 9b 7c 9b 9b 40 04 56 00 00 
Quick Up, 9e9b; 2dbae; 67 00 20 23 51 80 b7 9e 62 14 40 02 00 
, b69e; 2dec6; 
, b69e; 2dec6; 
Scary Words, 019c; 2dc11; 68 32 62 1e 51 80 b7 9e 13 40 08 00 
Nasty words, 0d9c; 2dc1d; 68 33 62 14 a0 05 9c 
, b69e; 2dec6; 
Defense Down Alpha, bc9b; 2dbcc; 67 0d 20 24 62 28 51 80 b7 9e 13 79 c4 9e 64 04 40 07 00 
, b69e; 2dec6; 
, b69e; 2dec6; 
Rages, ab9b; 2dbbb; 62 19 54 68 2a 62 14 40 11 00 
Lifeup Alpha, d39c; 2dce3; 67 00 20 08 62 1e 51 80 b7 9e 40 00 00 
Lifeup Beta, e09c; 2dcf0; 67 00 20 09 62 50 a0 d9 9c 
