Basement; Rat
Mothers Day; Centipede, Snake, Crow, Stray Dog, Redneck, Hippie
Cemetery; Mr. Batty, Ghost, PseudoZombie, Gang Zombie
Zoo; Fly, Hyena, Biopede, Crocodile, Gorilla, Tiger, Elephant, Starman Jr.
Magicant; Raeb Yddet, Sky Yddet, Bonus Swoosh, Swoosh, Papa Swoosh, Swooshette, WhooshSwoosh, Magisnail, Woodoh, Big Woodoh, Miraco, CavernMaster
Thanksgiving; Lil Saucer, Barbot, Lynx, Skunk, Wolf, Eagle, Bear
Train Tracks; Devil Car, Devil Truck, Mad Car, Mad Truck, Death Truck, Bag Lady, Fugitive, Rope
Duncans Factory; Bomber, Fireball, Dr.Distorto, Old Robo, Scrapper
Snowman; Silver Wolf, Lone Wolf, Bigfoot, Polar Bear
Halloween Mansion; Biobat, Zombie, ViolentZomb, BloodyZombie, Alarm Ghost, Dust Ghost, Armor
Advent Desert; Rattlesnake, Scorpion, Bioscorp, Tarantula, Gabilan, Jane, OmegaSaucer, Atomic Robo, Death Barbot, Starman
Outer Desert; Red Snake, Spider, Titany
Swamp and Valentine; Strong Croc, Buffalo, Bison, Caroline, Mook, Seagull, B.B. Gang
Itoi Caves; BlueStarman, Brainga
Itoi Base; Gargoyle, Satania, Mega Borg, Titanian, Grizzly, Mook Senior
Itoi Peak; Giga Borg, Last Borg, Star Miner, Nuclear Robo, Suzie, LastStarman
