Basement; Rat
Mothers Day; Centipede, Snake, Crow, Stray Dog, Redneck, Hippie
Cemetery; Mr.Batty, Ghost, PseudoZombie, Gang Zombie
Zoo; Fly, Hyena, Biopede, Crocodile, Gorilla, Tiger, Elephant, Starman Jr.
Mothers 2; Lil Saucer, Barbot
Magicant; Raeb Yddet, Sky Yddet, Bonus Swoosh, Swoosh, Papa Swoosh, Swooshette, WhooshSwoosh, Magisnail, Woodoh, Big Woodoh, Miraco, CavernMaster
Thanksgiving; Lynx, Skunk, Wolf, Eagle, Bear
Tracks; Devil Car, Mad Car, Devil Truck, Mad Truck, Death Truck, Bag Lady, Fugitive, Rope
Duncans; Bomber, Fireball, Dr.Distorto, Old Robo, Scrapper
Snowman; Silver Wolf, Lone Wolf, Bigfoot, Polar Bear
Bots; OmegaSaucer, Death Barbot, Atomic Robo, Red Snake
Halloween; Biobat, Zombie
Mansion; ViolentZomb, BloodyZombie, Alarm Ghost, Dust Ghost, Armor
Desert; Rattlesnake, Scorpion, Bioscorp, Tarantula, Gabilan, Starman, Jane, Mega Borg
Easter; Spider, Titany
Swamp; Strong Croc, Bison, Mook, Caroline, Giga Borg, Nuclear Robo
Valentine; Seagull, Buffalo, B.B.Gang
Itoi Caves; BlueStarman, Brainga
Itoi Base; Gargoyle, Satania, Titanian, Grizzly, Mook Senior
Itoi Peak; Star Miner, Last Borg, Suzie, LastStarman
